answer,question
"[""July 16, 2017""]",who received the jnanpeeth award in the year 2017
"[""Guaranteed Rate Field""]",who plays elsie in peter kay's car share
"[""December 15, 2017""]",why do you put fork marks on peanut butter cookies
"[""King Edward Peak""]",when's the last time the los angeles dodgers won the world series
"[""Pom Klementieff""]",the term that describes a function that is symmetric about the y-axis is
"[""Lionel Messi""]",who is playing in the cotton bowl 2017
"[""Amanda Shiflett""]",where is eurovision 2018 going to be held
"[""in 2018""]",why do the swiss put bells on their cows
"[""New Netherland""]",what is the full form of n c c
"[""May 5, 1992""]",who sings i love you in the morning and in the afternoon
"[""March 25, 2011""]",when did the old ebbit grill in washington dc open
"[""Queen's Park""]",who wrote take it easy by the eagles
"[""18 August 2011""]",where is the movie cargo based out of
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",who is on the cover of get yer ya ya's out
"[""1981""]",who sang black magic woman with carlos santana
"[""2009""]",how many national parks are there in england and wales
"[""Anil Kumar Jha""]",when was the first horse drawn carriage invented
"[""in 2018""]",how many episode of lost in space netflix
"[""Lionel Messi""]",where did the worst nuclear disaster in history occur
"[""18 August 2011""]",who said monsoon is india’s real finance minister
"[""Meredith Willson""]",who is the voice of the price is right
"[""Elstree Studios""]",who headed the national planning committee of india in 1938
"[""Clemson\n1""]",what do you call a black and tan in ireland
"[""ground state""]",number of passengers on independence of the seas
"[""Welton Academy""]",when was the last time england got to semifinals
"[""those that have died""]",what animal was used as a code name for mac os x 10.3
"[""State governments""]",when does el senor de los cielos 6 start
"[""2010""]",how many seasons were there for stargate atlantis
"[""12""]",who wrote the bridge over the river kwai
"[""Saddam Hussein""]",where is the ball spotted on a 2 point conversion
"[""produces a lubricating mucus""]",what was the original language of the new testament
"[""2010""]",who was the first saiyan to fight goku
"[""six""]",jeff loves adopted name for music for mountains
"[""Jason Michael Lee""]",how many times india won womens cricket world cup
"[""oxidative phosphorylation""]",alan parsons project intro eye in the sky
"[""State governments""]",where did they film the cowboys with john wayne
"[""2018""]",when did amazon start collecting sales tax in vermont
"[""King Edward Peak""]",where does the bread and butter roast come from
"[""Tuticorin (Thoothukudi)""]",who sings the song breathe from grey's anatomy
"[""9""]",when was the first new pound coin made
"[""April 1, 1999""]",who is the real owner of chelsea football club
"[""A concerto""]",what was one cause of the decline of the byzantine empire
"[""Anil Kumar Jha""]",when did the draft start for world war 2
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",who is featured in father stretch my hands
"[""71%""]",who is in charge of a football match
"[""four""]",what is the border name between india and pakistan
"[""Marvin Gaye""]",where does the captain sit on a cruise ship
"[""US$500""]",who is the most payed player in the nba
"[""V8 engine""]",when was the first gastric bypass surgery performed
"[""2012""]",what year is it now in the japanese calendar
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",what language do they speak in the country of georgia
"[""a wild Pikachu""]",the fundamental duties of an india citizen are contained in
"[""1962""]",how far is the horsehead nebula from earth
"[""179""]",who tries to stop violence at sals in do the right thing
"[""in 2018""]",when did the movie tooth fairy come out
"[""18""]",why is the red wings mascot an octopus
"[""1792""]",who wrote the national anthem of south africa
"[""Ireland""]",what method of cookery is used to cook cakes and scones
"[""Josh Groban""]",who has the most points in the nba history
"[""New York Yankees""]",when was the first edinburgh military tattoo held
"[""October 10, 2017""]",what is another name for the society of jesus
"[""Marvin Gaye""]",where does she's the man take place
"[""Saleisha Stowers""]",who has played the most games for carlton
"[""eastward, in prograde motion""]",who wrote ain't that a kick in the head
"[""China""]",top 10 largest soccer stadiums in the world
"[""18 August 2011""]",who is hannah married to in the bible
"[""St. Louis Cardinals"",""San Francisco Giants""]",what kind of fish is in mcdonald's fish fillet
"[""George Hudson""]",when was the hymn in the garden written
"[""centroid""]",game of thrones season 7 date of release
"[""Lionel Messi""]",actress who played alice on the brady bunch
"[""1982""]",with reference to the climate of india the western disturbances originate over
"[""Shirley Mae Jones""]",where did ac/dc get their band name
"[""Season 4, Episode 8""]",when did conan stop writing for the simpsons
"[""New York Yankees""]",when did ps i still love you come out
"[""13""]",who did we get the statue of liberty from
"[""December 15, 2017""]",what channel is turner classic movies on verizon fios
"[""1984""]",who won the mens curling in 2018 olympics
"[""redox reactions""]",who sings i get knocked down but i get up again
"[""March 9, 2018""]",what happened to the little boy from bronx tale
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",what is the speed limit on the m5
"[""4""]",when was the last time germany lost world cup
"[""those that have died""]",what is the longest canal tunnel in uk
"[""35""]",when did at home pregnancy tests come out
"[""West Indies""]",as a factor of production what is capital
"[""1920 to 1933""]",who played ryan's brother in the oc
"[""Jesse Donald Knotts""]",who plays mrs potts in the new beauty and the beast movie
"[""1974""]",what do they put on bulls to make them buck
"[""Barbicide""]",who are the defending champions in the world cup
"[""3 to 8 days""]",who is the faster car in the world
"[""2018""]",during which part of the water cycle does water move from earth’s surface to the atmosphere
"[""Jimmy Cliff""]",when did the army air corps become air force
"[""July 16, 2017""]",who was the comic book series amar chitra katha created
"[""Saddam Hussein""]",mere rashke qamar who is the original singer
"[""1980""]",how many schools are in knox county tn
"[""video editing""]",when was the euro introduced as legal currency in the world market
"[""Matthew Prokop""]",where are the elytra located if they are present on an insect
"[""Shirley Mae Jones""]",fetal alcohol syndrome is caused by exposure to a(n)
"[""Gal Gadot""]",tailed bacteriophages fall within which of baltimore groups
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",where do most immigrants to the u.s. come from (which country )
"[""1967""]",where do they grow wheat in the us
"[""ice caps""]",who played piano on cat stevens morning has broken
"[""13""]",which city is known as the grasse of east in uttar pradesh
"[""9""]",who wrote nanny mcphee and the big bang
"[""2012""]",who fought with an angel in the bible
"[""Mexico"",""Soviet Union""]",when did the song dream weaver come out
"[""December 2003""]",who was the president of the constitutional convention
"[""unknown""]",when was the first jurassic park film made
"[""1981""]",when did india last win the cricket world cup
"[""Jason Michael Lee""]",when did the bmw 1 series have a facelift
"[""2012""]",who has scored the most runs in ashes history
"[""Clayton Moore""]",when did worl war 2 start and end
"[""Over 2,500""]",who plays mr wickham in pride and prejudice
"[""Jimmy Cliff""]",who has won the most super bowl wins
"[""Marley""]",what is the current population of miami florida
"[""Eli Marienthal""]",which is first silence of the lambs and hannibal
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",where does the last name ewing come from
"[""Mexico"",""Soviet Union""]",how many layers does open systems interconnection model have
"[""produces a lubricating mucus""]",how many osteopathic medical schools are there in the united states
"[""December 2003""]",when does the new season of travelers come out
"[""horses""]",who participated in the olympic games in ancient greece
"[""the Ivrea Codex"",""the Apt Codex""]",who had the most land after the french and indian war
"[""42""]",what was america called after the revolutionary war
"[""1962""]",who played the penguin in the original batman
"[""Thurl Ravenscroft""]",who's running for lieutenant governor in georgia
"[""Meredith Willson""]",when does spiderman homcoming come out on dvd
"[""In 1995""]",who was the doctor who identified the cause of the 1854 colera outbreak in england
"[""Eagles""]",who has the most fights in the ufc
"[""1920 to 1933""]",who invented the first perm for black hair
"[""Calcium ions""]",who is the servant through whom allah provided the quran
"[""Queen's Park""]",what was the source of alpha particles in rutherford's experiment
"[""Christopher Robert Evans""]",when does season 2 episode 3 of escape the night come out
"[""2000""]",who played howard's mother in big bang theory
"[""2–4 years""]",what is the capacity of optus stadium perth
"[""ice caps""]",who was the leader of italy during the second world war
"[""12""]",the period of transition between childhood and adulthood is known as
"[""US$500""]",who played john coffey in the movie green mile
"[""Ireland""]",who died in the plane crash in greys anatomy
"[""12""]",what's the purpose of the space needle
"[""Season 4, Episode 8""]",when was premiere of simpson hit and run
"[""in 2018""]",the trophy known by the name of grand prix is associated with
"[""Marvin Gaye""]",what is the largest prison in the united states
"[""2017""]",what is saying god's name in vain mean
"[""Marvin Gaye""]",who has sold the most albums all time
"[""7""]",who played marilla on anne of green gables
"[""Edwin Hubble""]",who sang old man river in the film showboat
"[""2017""]",who played the mother on the partridge family
"[""35""]",when did the wonderful world of disney air
"[""12""]",which country is called land of morning calm
"[""A concerto""]",who does the voice for the raccoon in guardians of the galaxy
"[""Billie Jean King""]",g league what does the g stand for
"[""1,089 sq ft""]",who is the ceo of lord and taylor
"[""US$500""]",who plays jake in not another teenage movie
"[""Jason Michael Lee""]",who played kate mccoy on the real mccoys
"[""2002""]",who has held the office for chief minister for the longest time
"[""four""]",1 kunta is equal to how many square feet
"[""In 1995""]",what is the normal vision of human eye
"[""pyramidion""]",when is series 4 of millie inbetween coming out
"[""October 10, 2017""]",who coined the term survival of the fittest
"[""Anderson Silva""]",what unit would you use to measure the weight of a apple
"[""Greek""]",when were the triplets born on this is us
"[""Eli Marienthal""]",who is the bad guy in les miserables
"[""Queen's Park""]",who was the first president of the nbew
"[""2002""]",who directed the musical episode of grey's anatomy
"[""Zaira Wasim""]",who pays for the hollywood walk of fame stars
"[""San Antonio""]",when did we drop the atomic bomb on hiroshima
"[""9""]",how many nuclear weapons did the soviet union have in 1945
"[""Phillip Alford""]",who plays dr smith lost in space 2018
"[""Queen's Park""]",when did the church of the nazarene start
"[""Jesse Donald Knotts""]",who won last season dancing with the stars
"[""March 15, 2013""]",who wrote the music for somewhere in time
"[""1967""]",who has the least punishments on impractical jokers
"[""St. Louis Cardinals"",""San Francisco Giants""]",who wrote the song do i love you
"[""October 10, 2017""]",when did the indian constitution come into being
"[""3 to 8 days""]",what episode does angelina leave in season 2
"[""1900""]",what is the value of absolute zero on the celsius scale
"[""Eli Marienthal""]",who played the original jason on friday the 13th
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when does far cry 5 come out for playstation 4
"[""May 5, 1992""]",when will the workd cup final be played
"[""Lacey Turner""]",what is the dogs name in the little rascals
"[""1900""]",who sang the theme song from half and half
"[""V8 engine""]",who was the little girl that played annie
"[""eastward, in prograde motion""]",who played norma desmond in sunset boulevard on broadway
"[""18""]",who played jimmy in high school musical 3
"[""Mexico"",""Soviet Union""]",when does chapter 75 of jane the virgin come out
"[""Meredith Willson""]",when did the milky way midnight come out
"[""Welton Academy""]",who's the first president of the united states
"[""2018""]",who led the great sioux uprising in 1862
"[""Anil Kumar Jha""]",who is the governor of the reserve bank of india
"[""China""]",who wrote the songs to the greatest showman
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who played organ on fly like an eagle
"[""1982""]",when was beauty and the beast 2017 released
"[""Jose Garces""]",who said the shot heard round the world
"[""10 one-hour episodes""]",when did mt. rainier last have a significant eruption
"[""August 17, 2018""]",what does ms stand for in coin grading
"[""2017""]",where is american pie 2 supposed to take place
"[""Machilipatnam""]",who plays young snow white in once upon a time tv show
"[""December 15, 2017""]",who has the largest number of followers on instagram
"[""West Bengal""]",who plays will's father in pirates of the caribbean
"[""March 9, 2018""]",who is being referred to in the song auld lang syne
"[""1980""]",term of non permanent member of un security council
"[""1,089 sq ft""]",what is the name of the currency used in togo
"[""Phillip Alford""]",where is the the great pacific garbage patch located
"[""A mood swing""]",who does riley end up with on the client list
"[""1967""]",what is the 1st lord of the rings movie
"[""4""]",who plays the daughter in we bought a zoo
"[""July 16, 2017""]",who has the most wins ever in nascar
"[""July 16, 2017""]",who used punch cards to create a new calculating system
"[""a wild Pikachu""]",who was defeated in the battle of buxar
"[""Ireland""]",who does the voice of the narrator in beauty and the beast
"[""13""]",who plays the daughter in the series yellowstone
"[""Charles Young""]",who is the actor who plays draco malfoy
"[""St. Louis Cardinals"",""San Francisco Giants""]",who won the great british bake off 2011
"[""Lacey Turner""]",how many nfl championships did the packers win
"[""Alex Rodriguez""]",who had the best batting average in baseball history
"[""18 August 2011""]",when was bring it on fight to the finish filmed
"[""Niagara River""]",who played margaret rose in baby the rain must fall
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",how many digits in an employer federal identification number
"[""John O'Banion""]",where is lebron on the all time scoring list
"[""2017""]",the necessary and proper clause was articulated by which supreme court case
"[""2009""]",who brought castiel back to life in season 5
"[""Billie Jean King""]",when is the next tokyo ghoul episode coming out
"[""13""]",where does the story anne of green gables take place
"[""King Edward Peak""]",where does the enzyme attach to the substrate
"[""January–July 1975""]",who was the french and indian war fought between
"[""2017""]",major westward moves in sports franchises began in earnest in the major sports in
"[""four""]",who wrote the song on the eve of destruction
"[""122""]",ancient area of asia minor including aegean islands
"[""George Casper Homans""]",where did the motto don't tread on me come from
"[""Spanish""]",black panther comic when did it come out
"[""1984""]",where did the siege of petersburg take place
"[""1980""]",when was the hitchhiker's guide to the galaxy published
"[""2010""]",who played the dead friend in the big chill
"[""April 1, 1999""]",when was the tread act mandated by the nhtsa in the us
"[""1982""]",what's the dog's name from toy story
"[""Charles Young""]",when does episode 5 come out for batman the enemy within
"[""Christopher Robert Evans""]",when was the last time a running back was the 1st overall pick in the nfl draft
"[""Alex Rodriguez""]",when is steven universe save the light coming out
"[""Ryan ten Doeschate""]",what chapter in the bible has the 10 commandments
"[""1981""]",who won the golf match in the film the legend of bagger vance
"[""2000""]",when did daddy die from the dog whisperer
"[""Pom Klementieff""]",who played michael myers in the rob zombie halloween movie
"[""North Korea""]",where does the tip of a picc line end
"[""US$500""]",where are the upper motor neurons that control skeletal muscles found
"[""Clemson\n1""]",who is playing the role of wonder woman
"[""Lebanese""]",who sang the song if it's meant to be
"[""a compulsory governmental insurance system""]",what is faster a gazelle or a cheetah
"[""12""]",who plays lemon's mom in hart of dixie
"[""Venus""]",where was the ghost in the shell filmed
"[""Billie Jean King""]",when did the tv show full house start
"[""10 one-hour episodes""]",when did touched by an angel first air
"[""March 15, 2013""]",who is the first indian person to climb mount everest
"[""eastward, in prograde motion""]",the business of insurance is classified as what
"[""18""]",how many days are in febuary in a leap year
"[""eastward, in prograde motion""]",where do materials that decay or decompose come from
"[""13""]",who holds the record for the fastest pitch in baseball
"[""Gal Gadot""]",what does thou shalt not bear false witness against thy neighbour mean
"[""Jose Garces""]",how many chipotle restaurants are there in the us
"[""In 1995""]",who plays spencer's mother on pretty little liars
"[""35""]",when does the next jurassic world come out
"[""42""]",where was the church of the holy sepulcher built
"[""pyramidion""]",who sings done for me with charlie puth
"[""August 17, 2018""]",where did me myself and irene take place
"[""West Bengal""]",when did the state of texas reinstate the death penalty
"[""1967""]",how many runs can you score in one inning
"[""Marvin Gaye""]",when was the last time michigan won a national championship in basketball
"[""1792""]",who is the world hot dog eating champion
"[""Clayton Moore""]",the guy who plays chris in everybody hates chris
"[""Jason Michael Lee""]",joule is unit of. in mks system
"[""Barbicide""]",who won the us open mens final 2018
"[""12""]",2000 chevy impala front or rear wheel drive
"[""Jimmy Cliff""]",who plays the voice of darth vader in star wars
"[""St. Louis Cardinals"",""San Francisco Giants""]",where are the new england patriots based out of
"[""Thurl Ravenscroft""]",who were the leaders of the battle of fort ticonderoga
"[""redox reactions""]",where is honey i shrunk the audience in disney world
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who played the bird woman in mary poppins
"[""3 to 8 days""]",did pokemon start as a game or a show
"[""Ireland""]",what season is it's a trap family guy
"[""Sarabi""]",what is the dog called in midsomer murders
"[""Australia""]",when was the first morgan silver dollar made
"[""1939""]",how many rooms are in the gaylord texan
"[""West Bengal""]",what is the wall of a ship called
"[""1960""]",what happened to the chicago world's fair buildings
"[""1792""]",when did the green bay packers play in milwaukee
"[""Josh Groban""]",who was drafted first overall in 1999 nhl
"[""Miguel Cabrera""]",which two types of cookware will not work for induction cooking
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when did the internet become available to the general public
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who did the patriots beat in the last super bowl
"[""Australia""]",where does the reed go on a saxophone
"[""Lacey Turner""]",who does the voice of finn the human
"[""Dev"",""Devin Star Tailes""]",where do the ny mets play home games
"[""35""]",when did heaven by kane brown come out
"[""Eli Marienthal""]",the preamble of the constitution of india is based on the model of
"[""Mexico"",""Soviet Union""]",who became the family wizard in wizards of waverly place
"[""Evaluation and management""]",when is series 4 of millie inbetween coming out
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",the members of cabinet under president system are accountable to whom
"[""3 to 8 days""]",who plays tiana's mom in once upon a time
"[""video editing""]",who became ceo of it company vipro in 2016
"[""1920 to 1933""]",what season did lebron win his first championship
"[""Islamic prophet Muhammad""]",where was the hindenburg scheduled to fly and how many passengers were on the british airship
"[""1974""]",when was the canadian human rights act enacted
"[""December 15, 2017""]",where did lyla go in girlfriends guide to divorce
"[""Pom Klementieff""]",what is the name of jacob tribe in twilight
"[""Jason Michael Lee""]",who sings must be the music that's turning me on
"[""Potassium chlorate""]",who sang i just died in your arms
"[""42""]",how many times have the penguins and capitals met in the playoffs
"[""Australia""]",who sang i've been through the desert on a horse with no name lyrics
"[""1981""]",tatler a literary and a society journal begun by which essayist
"[""after a minor infringement""]",when did jacksonville jaguars become an nfl team
"[""A mood swing""]",when does the newest flash episode come out
"[""Gabrielle Haugh""]",who does mufasa's voice in lion king
"[""Thurl Ravenscroft""]",who played woody from suite life on deck
"[""Elstree Studios""]",what was the effect of colonial resistance to the townshend taxes
"[""April 1, 1999""]",when is next olympic games to be held
"[""Jimmy Cliff""]",who's doing the home invasions on sons of anarchy
"[""1981""]",when did fa cup semi finals move to wembley
"[""ice caps""]",who plays pearl in the scarlet letter movie
"[""Islamic prophet Muhammad""]",who won the espy for best nba player
"[""10 one-hour episodes""]",how many episodes in house of cards series 1
"[""Mary Kate Schellhardt""]",the velocity distribution in laminar flow through a circular pipe follows the law
"[""Australia""]",when was the first $2 bill made
"[""Lionel Messi""]",the main storage site for fat in the body is
"[""1962""]",when did the green bay packers play in milwaukee
"[""7""]",who was the original singer of the song hallelujah
"[""2017""]",who wrote the song sonny don't go away
"[""Anderson Silva""]",who died from fresh prince of bel air
"[""18""]",when does hold the dark come out on netflix
"[""Elstree Studios""]",where does most sugar come from in the us
"[""George Hudson""]",who said i know that i know nothing
"[""1962""]",describe how soil damage due to salinity could be reduced
"[""Sarabi""]",who did cole swindell write you should be here for
"[""December 2003""]",when does season 4 of younger come out
"[""3 to 8 days""]",who is the patron st of lost causes
"[""April 28, 2017""]",in 2009 the us federal debt held by the public was
"[""rose window""]",who played big red in the five heartbeats
"[""August 27, 2017""]",who won the first academy award for best picture
"[""Meredith Willson""]",what year did the movie traffic come out
"[""Meredith Willson""]",how old did you have to be to put your name in the goblet of fire
"[""35""]",which cricket ball is used in test matches in india
"[""James Arthur""]",who has scored the most goals in a premier league debut season
"[""video editing""]",what animal is rocket in guardians of the galaxy
"[""Citytv""]",how many times have the penguins and capitals met in the playoffs
"[""PewDiePie""]",when was will the circle be unbroken written
"[""rose window""]",what was the capital of north vietnam in the mid 1950s
"[""July 16, 2017""]",who had 59 acadamy award nominations winning 22 oscars
"[""A concerto""]",who plays nanny plum in ben and holly's little kingdom
"[""six""]",who makes the diesel engine in the jeep liberty
"[""Marvin Gaye""]",who invaded china in 1937 and occupied the best farmland by 1938
"[""1974""]",who wrote the song home from the wiz
"[""1981""]",who developed and commercialised the modern multichannel cochlear implant (bionic ear)
"[""A mood swing""]",what is the scientific name for the fungi kingdom
"[""Machilipatnam""]",name the world's largest riverine island formed by brahmaputra
"[""1967""]",who is the winner of raising star 2
"[""rose window""]",first ufc fighter to hold two belts at the same time
"[""Meredith Willson""]",who is dr altman on grey's anatomy
"[""Australia""]",who played beverly in only fools and horses
"[""rose window""]",when did the tv show swat come out
"[""Lionel Messi""]",who starred with barbra streisand in a star is born
"[""Saddam Hussein""]",what year is it now in the japanese calendar
"[""volume of the container decreases""]",these are bones that are typically longer than wide
"[""South Side, Chicago""]",the cat in the hat boy and girl
"[""2012""]",the highest goal scorer in la liga this season
"[""PewDiePie""]",a packet or unit of light energy is called a
"[""after a minor infringement""]",who plays richard webber on grey's anatomy
"[""Eli Marienthal""]",who has scored most runs in t20 matches
"[""Meredith Willson""]",who sang whose bed have your boots been under
"[""1984""]",where does raisin in the sun take place
"[""the Ivrea Codex"",""the Apt Codex""]",where does the vagus nerve enter the abdomen
"[""Sachin Tendulkar""]",who won the first season of the block
"[""Spectre""]",who is bone thugs n harmony signed to
"[""Richard Dawson""]",when did we start paying federal income tax
"[""West Indies""]",what animal is mr. big in the movie zootopia
"[""1980""]",which european countries originally had settlements in virginia
"[""Sachin Tendulkar""]",where does the oboe sit in the orchestra
"[""Billie Jean King""]",when is season 4 of htgawm coming out
"[""South Side, Chicago""]",how long does a permanent resident visa last in australia
"[""1998""]",where does the murray river enter the ocean
"[""Anil Kumar Jha""]",when does the mlb regular season start in 2018
"[""Eagles""]",what is the term to describe seasonal color groups and combinations
"[""January–July 1975""]",what did gwyneth paltrow won her oscar for
"[""Mars Bonfire""]",how long is the muppet 3d show at hollywood studios
"[""A mood swing""]",who follows the secretary of state in presidential succession
"[""originally from the Greek""]",when did they start building the twin towers
"[""Billie Jean King""]",when was ankara made the capital of turkey
"[""Thurl Ravenscroft""]",age to run for us house of representatives
"[""Evaluation and management""]",branch of science that involves the classification of living things
"[""9""]",who hired leonardo da vinci to paint the last supper
"[""2015""]",which team has the most super bowls wins
"[""unknown""]",what is the minimum number of days holiday
"[""1981""]",when did the home service became radio 4
"[""1984""]",who has scored the most la liga goals ever
"[""Jesse Donald Knotts""]",when do dragon ball super episode 107 come on
"[""March 25, 2011""]",when did the heart become associated with love
"[""constitutional republic""]",when was sgt pepper released in the uk
"[""2017""]",who is india's longest serving prime minister
"[""2015""]",when did the apa create the code of ethics
"[""Elstree Studios""]",who is running for governor in the state of oregon
"[""Thurl Ravenscroft""]",who won the battle of antietam union or confederate
"[""1900""]",what state is the new england patriots football team from
"[""Evaluation and management""]",who are utah's representatives in the house
"[""Jason Michael Lee""]",who is the actor who plays ivar the boneless
"[""December 15, 2017""]",when are elections for the house of representatives held
"[""Season 4, Episode 8""]",where did the po boy sandwich originated from
"[""April 28, 2017""]",who signed the 1900 buganda agreement on behalf of buganda
"[""March 9, 2018""]",where is the guam located on a map
"[""1960""]",when was bharat stage norms introduced in india
"[""in 2018""]",who sings i don't want to lose your love tonight
"[""Spanish""]",when did the world population hit 7 billion
"[""2015""]",who played jeb in to kill a mockingbird
"[""9""]",when do they stop measuring crown to rump
"[""St. Louis Cardinals"",""San Francisco Giants""]",1 litre is equal to how many centimetre cube
"[""2018""]",who is the actor playing krishna in mahabharat
"[""1982""]",who has won the men's world cup
"[""April 28, 2017""]",who has the most number one hits country
"[""the axon terminal""]",what real life mission returned a sample from a comet
"[""Lionel Messi""]",what is the real name of wonder woman 2017
"[""Gal Gadot""]",who is the narrator in disappeared on id
"[""oxidative phosphorylation""]",who wrote the song i d like to teach the world to sing in perfect harmony
"[""Lake Baikal""]",what was the largest single public works project in the history of america
"[""18 August 2011""]",what is the opposite side of a right angle triangle
"[""rose window""]",who are utah's representatives in the house
"[""12""]",who played bb 8 in the force awakens
"[""John O'Banion""]",india's first satellite aryabhatta was launched in
"[""the Ivrea Codex"",""the Apt Codex""]",has a player on the losing team ever won superbowl mvp
"[""Thurl Ravenscroft""]",who did kelly end up with on 90210
"[""West Bengal""]",2000 chevy impala front or rear wheel drive
"[""Dev"",""Devin Star Tailes""]",which type of organism would occupy the bottom trophic level
"[""St. Louis Cardinals"",""San Francisco Giants""]",what episode of legends of tomorrow is the crossover
"[""10 one-hour episodes""]",most amount of disposals in an afl game
"[""State governments""]",what does the french bit in partition mean
"[""12""]",who wrote the book of love american pie
"[""oxidative phosphorylation""]",when is the feast of our lady of the rosary celebrated
"[""Jose Garces""]",who scored the most goals in the history of soccer
"[""PewDiePie""]",when does new series of dr who start 2018
"[""a compulsory governmental insurance system""]",who wrote music for singing in the rain
"[""July 16, 2017""]",who commanded the texas army and also was president of the texas republic
"[""1980""]",when did the united states declare war on great britain
"[""Season 4, Episode 8""]",when does the second season of greenhouse academy
"[""2000""]",when did the cask of amontillado take place
"[""1942""]",when does law and order svu come back on
"[""March 27, 2018""]",who wins the shiva bowl in season 6
"[""Over 2,500""]",what is the theme of midnight in paris
"[""Greek""]",who sang i've got you under my skin first
"[""Zaira Wasim""]",what states were hit the hardest by the dust bowl
"[""18 August 2011""]",who played mr. o'hara in gone with the wind
"[""Australia""]",when does the rest of season 7 of suits start
"[""Evaluation and management""]",when was the last time the brewers went to the playoffs
"[""A concerto""]",where do they grow cranberries in the united states
"[""Lacey Turner""]",who controlled vietnam during the late 1800s to 1954
"[""2017""]",how many hours in a uk working day
"[""South Side, Chicago""]",who scored most runs in t20 for india
"[""1980""]",where was avril lavigne's head above water video filmed
"[""redox reactions""]",when did the carol burnett 50th anniversary show first air
"[""3 to 8 days""]",who is the little boy on the shining
"[""San Antonio""]",when an economy increases the amount of capital per worker it is called
"[""1982""]",who do realists believe are the primary actors in international relations
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who did america fight during world war 1
"[""Lebanese""]",when is meteor garden 2018 ep 7 coming out
"[""Prince Phillip""]",who is the actress that plays amy on big bang theory
"[""August 27, 2017""]",who won the great british bake off 2011
"[""May 5, 1992""]",who sings lead on here there and everywhere
"[""Dev"",""Devin Star Tailes""]",what are the four major types of plasma lipoproteins
"[""after a minor infringement""]",which city is hosting the 2017 mobile world congress (mwc)
"[""Dev"",""Devin Star Tailes""]",where is britain's got talent semi finals held
"[""Evaluation and management""]",who does the voice of the narrator in beauty and the beast
"[""2018""]",what is the gmc version of the suburban
"[""St. Louis Cardinals"",""San Francisco Giants""]",what kind of gun did dirty harry carry
"[""six""]",the ocean that touches the indian coast is the
"[""Dylan""]",when did the red iphone 7 come out
"[""1998""]",when does ink master season 10 finale air
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who was the first black male to win an oscar
"[""Tuticorin (Thoothukudi)""]",who played johnny cash in i walk the line
"[""Marley""]",how many digits is a social security number
"[""Billie Jean King""]",how many episodes in the unforgotten season 2
"[""Charles Young""]",who starred in the movie deep water horizon
"[""42""]",the guy that died in fast and furious 7
"[""John O'Banion""]",who said stand on the shoulders of giants
"[""video editing""]",where did the battle of bunker hill take place
"[""Zone Improvement Plan""]",who sang the theme song from good times
"[""March 9, 2018""]",states elects the maximum number of members to the rajya sabha
"[""1981""]",where does the superior vena cava return blood from
"[""Dylan""]",how many 4-year colleges and universities in the u.s
"[""James Arthur""]",who created the first solid body electric guitar
"[""1998""]",when did the war in vietnam take place
"[""2015""]",when does season 3 of live pd start
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",what episode do eddie and patricia get back together
"[""ground state""]",who sang the songs in the movie your cheatin heart
"[""August 27, 2017""]",who was the bad guy in dudley do right
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",how long do mocking birds stay in the nest
"[""2017""]",when was the original peter pan movie made
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who owns the d hotel in las vegas
"[""179""]",when did batman with michael keaton come out
"[""March 25, 2011""]",when was the great pyramid at giza built
"[""A concerto""]",when is have and have nots season finale
"[""179""]",who is hope engaged to on days of our lives
"[""John von Neumann""]",where did the atomic bomb drop on hiroshima
"[""Zaira Wasim""]",when do we celebrate world environment day and why
"[""1962""]",who is peter quill's father in comics
"[""Ryan Guzman""]",family guy stewie and brian start a band
"[""October 10, 2017""]",when did the norfolk broads become a national park
"[""E. M. Forster""]",who led the first voyage to circumnavigate the globe
"[""71%""]",who plays mike myers in rob zombie's halloween
"[""James Arthur""]",when did canada became a colony of britain
"[""13""]",what type of government system does nigeria have
"[""PewDiePie""]",who created the first national park in america
"[""January 11, 1970""]",who directed the oscar winning film 'the piano' in 1993
